stim_color,stim_loc,Type,Response,RT,Subject,Trial,logfile_name,prop,condition,block,time_stamp,onset,factors,Subject_num,rule,congruency,correct_action,run,if_over_CCC
1,0,1,1,1105.2,sub08_Luoluo,1,s2_part1,20,s,1,1553682990,0.2154,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,false
0,1,1,0,588.3,sub08_Luoluo,2,s2_part1,20,s,1,1553682990,2.3819,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,false
0,1,1,0,1059.1,sub08_Luoluo,3,s2_part1,20,s,1,1553682990,4.79835,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
1,1,1,1,752.2,sub08_Luoluo,4,s2_part1,20,s,1,1553682990,7.3398,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,1,1,1,true
1,0,1,1,629.1,sub08_Luoluo,5,s2_part1,20,s,1,1553682990,9.88125,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
1,0,1,1,682.2,sub08_Luoluo,6,s2_part1,20,s,1,1553682990,12.4227,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
1,0,1,1,753.2,sub08_Luoluo,7,s2_part1,20,s,1,1553682990,14.83915,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
0,1,1,0,736.1,sub08_Luoluo,8,s2_part1,20,s,1,1553682990,17.2556,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
1,0,1,1,629.1,sub08_Luoluo,9,s2_part1,20,s,1,1553682990,19.79705,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
1,1,1,1,706,sub08_Luoluo,10,s2_part1,20,s,1,1553682990,22.3385,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,1,1,1,false
0,0,1,0,879.1,sub08_Luoluo,11,s2_part1,20,s,1,1553682990,24.87995,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,1,0,1,true
0,0,1,0,638.1,sub08_Luoluo,12,s2_part1,20,s,1,1553682990,27.2964,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,1,0,1,false
0,1,1,0,711.1,sub08_Luoluo,13,s2_part1,20,s,1,1553682990,29.5879,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
1,0,1,1,679.9,sub08_Luoluo,14,s2_part1,20,s,1,1553682990,31.87935,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
0,1,1,0,1005.1,sub08_Luoluo,15,s2_part1,20,s,1,1553682990,34.4208,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,false
0,1,1,0,898,sub08_Luoluo,16,s2_part1,20,s,1,1553682990,36.96225,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
0,1,1,0,625,sub08_Luoluo,17,s2_part1,20,s,1,1553682990,39.3787,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
1,0,1,1,701.9,sub08_Luoluo,18,s2_part1,20,s,1,1553682990,41.92015,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,false
1,0,1,1,771.1,sub08_Luoluo,19,s2_part1,20,s,1,1553682990,44.4616,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
0,1,1,0,680,sub08_Luoluo,20,s2_part1,20,s,1,1553682990,47.00305,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
1,0,0,0,1068.9,sub08_Luoluo,21,s2_part1,20,s,1,1553682990,49.5445,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,1,1,true
0,1,0,1,674,sub08_Luoluo,22,s2_part1,20,s,1,1553682990,52.08595,sub08_Luoluo-s2_part1_120_40,8,redleft-greenright,0,0,1,true
